code,title,full
ESC309D,ASSESSMENT IN MATHEMATICS,ESC309D - ASSESSMENT IN MATHEMATICS
SOC101D,INTRODUCTION TO SOCIOLOGY I,SOC101D - INTRODUCTION TO SOCIOLOGY I
SBU101D,FUNDAMENTALS OF BUSINESS I,SBU101D - FUNDAMENTALS OF BUSINESS I
RLH101D,INTRODUCTION TO THE STUDY OF RELIGION AND HUMAN VALUES,RLH101D - INTRODUCTION TO THE STUDY OF RELIGION AND HUMAN VALUES
EBS179D,INTRODUCTION TO THE STUDY OF RELIGION AND HUMAN VALUES,EBS179D - INTRODUCTION TO THE STUDY OF RELIGION AND HUMAN VALUES
HIS110D,WORLD CIVILIZATIONS UP TO 5TH CENTURY BC,HIS110D - WORLD CIVILIZATIONS UP TO 5TH CENTURY BC
GHL107TD,GHANAIAN LANGUAGE USAGE: WRITING TECHNIQUES (TWI),GHL107TD - GHANAIAN LANGUAGE USAGE: WRITING TECHNIQUES (TWI)
GHL107GAD,GHANAIAN LANGUAGE USAGE: WRITING TECHNIQUES (GA),GHL107GAD - GHANAIAN LANGUAGE USAGE: WRITING TECHNIQUES (GA)
GHL107FD,GHANAIAN LANGUAGE USAGE: WRITING TECHNIQUES (MFANTSE),GHL107FD - GHANAIAN LANGUAGE USAGE: WRITING TECHNIQUES (MFANTSE)
GHL107ED,GHANAIAN LANGUAGE USAGE: WRITING TECHNIQUES (EWE),GHL107ED - GHANAIAN LANGUAGE USAGE: WRITING TECHNIQUES (EWE)
GEO103BD,THEMATIC GEOGRAPHY OF GHANA,GEO103BD - THEMATIC GEOGRAPHY OF GHANA
GEO101D,ELEMENTS OF PHYSICAL GEOGRAPHY,GEO101D - ELEMENTS OF PHYSICAL GEOGRAPHY
EBS161D,SOCIOLOGY OF THE FAMILY,EBS161D - SOCIOLOGY OF THE FAMILY
EBS157D,HUMAN-LAND ISSUES IN SOCIAL STUDIES,EBS157D - HUMAN-LAND ISSUES IN SOCIAL STUDIES
EBS145D,ELEMENTARY GEOMETRY,EBS145D - ELEMENTARY GEOMETRY
EBS133D,THE USE OF ENGLISH,EBS133D - THE USE OF ENGLISH
ENG101D,THE USE OF ENGLISH,ENG101D - THE USE OF ENGLISH
EBS126D,INTRODUCTION TO SOCIAL STUDIES,EBS126D - INTRODUCTION TO SOCIAL STUDIES
EBS125D,PRINCIPLES AND PRACTICE OF EDUCATION,EBS125D - PRINCIPLES AND PRACTICE OF EDUCATION
EBS123D,PHILOSOPHICAL AND PSYCHOLOGICAL FOUNDATIONS OF RME,EBS123D - PHILOSOPHICAL AND PSYCHOLOGICAL FOUNDATIONS OF RME
EBS121D,STUDIES IN AFRICAN POETRY,EBS121D - STUDIES IN AFRICAN POETRY
EBS120TD,LINGUISTICS OF THE GHANAIAN LANGUAGE (TWI),EBS120TD - LINGUISTICS OF THE GHANAIAN LANGUAGE (TWI)
EBS120GAD,LINGUISTICS OF THE GHANAIAN LANGUAGE (GA),EBS120GAD - LINGUISTICS OF THE GHANAIAN LANGUAGE (GA)
EBS120FD,LINGUISTICS OF THE GHANAIAN LANGUAGE (MFANTSE),EBS120FD - LINGUISTICS OF THE GHANAIAN LANGUAGE (MFANTSE)
EBS120ED,LINGUISTICS OF THE GHANAIAN LANGUAGE (EWE),EBS120ED - LINGUISTICS OF THE GHANAIAN LANGUAGE (EWE)
EBS116TD,GHANAIAN LANGUAGE AND CULTURE WRITING TECHNIQUES (TWI),EBS116TD - GHANAIAN LANGUAGE AND CULTURE WRITING TECHNIQUES (TWI)
EBS116GAD,GHANAIAN LANGUAGE AND CULTURE WRITING TECHNIQUES (GA),EBS116GAD - GHANAIAN LANGUAGE AND CULTURE WRITING TECHNIQUES (GA)
EBS116FD,GHANAIAN LANGUAGE AND CULTURE WRITING TECHNIQUES (MFANTSE),EBS116FD - GHANAIAN LANGUAGE AND CULTURE WRITING TECHNIQUES (MFANTSE)
